Haltestelle,latitude,longitude
"Bad Bramstedt, Kantstraße(AST-Halt)",9.879944,53.926657
"Bad Bramstedt, Klinikum(AST-Halt)",9.893501,53.903529
"Bad Bramstedt, Königsweg(AST-Halt)",9.876444,53.910016
Bad Bramstedt Kurhaus,9.890466,53.903201
"Bad Bramstedt, Lehmbarg(AST-Halt)",9.897744,53.924719
"Bad Bramstedt, Maienbaß",,
"Bad Bramstedt, Maienbeeck (Ost)",9.880561,53.921271
"Bad Bramstedt, Maienbeeck (West)",9.875549,53.923248
"Bad Bramstedt, Oskar-Alexander-Straße (AST-Halt)",9.890425,53.911998
"Bad Bramstedt, Parkstraße(AST-Halt)",9.885462,53.908324
"Bad Bramstedt, Pommernweg",9.871444,53.903035
"Bad Bramstedt, Psychos.Klinik(AST-Halt)",9.889944,53.904418
"Bad Bramstedt, Raamakerstieg(AST-Halt)",9.887058,53.921861
"Bad Bramstedt, Rühmels(AST-Halt)",9.866360,53.910260
